,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,m,tau_dr,tau_ols,tau_ols_ps
0,dlvm,1000,3,5,0.1,0,3,602,1,glm,1,False,False,10,1.0977567638170254,1.096392180465863,1.0979141915828583
1,dlvm,1000,3,100,0.1,0,3,602,1,glm,182,False,False,10,1.0445718664713073,1.0434765219324988,1.0456775088267218
2,dlvm,5000,3,5,0.1,0,3,602,1,glm,3,False,False,10,1.0711303102495073,1.0736661257151496,1.0807021709901972
3,dlvm,5000,3,100,0.1,0,3,602,1,glm,477,False,False,10,1.0856590382305988,1.0754371098661013,1.0772483060729847
4,dlvm,1000,3,5,0.3,0,3,602,1,glm,2,False,False,10,1.0894234394466598,1.0896365179420466,1.0902582323488663
5,dlvm,1000,3,100,0.3,0,3,602,1,glm,163,False,False,10,1.0592589323533215,1.0598821063466166,1.0651917276879694
6,dlvm,5000,3,5,0.3,0,3,602,1,glm,3,False,False,10,1.0767507471055877,1.0751852130212174,1.0760729396820539
7,dlvm,5000,3,100,0.3,0,3,602,1,glm,354,False,False,10,1.0863674746873657,1.0775315927170475,1.079184859114493
8,dlvm,1000,3,5,0,0,3,602,1,glm,0,False,False,10,1.1121023436828579,1.1106122402958358,1.113950738227555
9,dlvm,1000,3,100,0,0,3,602,1,glm,5,False,False,10,1.0489789666699,1.0471090388891238,1.0473328565613014
10,dlvm,5000,3,5,0,0,3,602,1,glm,2,False,False,10,1.071433724265821,1.073022735381091,1.080609344462509
11,dlvm,5000,3,100,0,0,3,602,1,glm,20,False,False,10,1.0835829298474713,1.0726342284259227,1.0737853901085332
12,dlvm,1000,3,5,0.1,1,3,602,1,glm,2,False,False,10,1.0516343886644834,1.0639401177328554,1.080141846432036
13,dlvm,1000,3,100,0.1,1,3,602,1,glm,354,False,False,10,1.093589499307623,1.0755543842075712,1.0783900582437151
14,dlvm,5000,3,5,0.1,1,3,602,1,glm,3,False,False,10,1.0737776918876982,1.0739263815436064,1.0788259746861422
15,dlvm,5000,3,100,0.1,1,3,602,1,glm,395,False,False,10,1.060877273671681,1.076616185675174,1.0804183175864188
16,dlvm,1000,3,5,0.3,1,3,602,1,glm,2,False,False,10,1.061626512087863,1.0650617119846122,1.0671686363913317
17,dlvm,1000,3,100,0.3,1,3,602,1,glm,149,False,False,10,1.1116019664154364,1.0893003030887265,1.0931381371708293
18,dlvm,5000,3,5,0.3,1,3,602,1,glm,4,False,False,10,1.0859817626092645,1.0844112875301737,1.0876059288831426
19,dlvm,5000,3,100,0.3,1,3,602,1,glm,325,False,False,10,1.0752244289491988,1.079662249305888,1.0841100855020962
20,dlvm,1000,3,5,0,1,3,602,1,glm,0,False,False,10,1.0529764446012528,1.0661296272637828,1.083787868910532
21,dlvm,1000,3,100,0,1,3,602,1,glm,3,False,False,10,1.1055698787705823,1.0808816496975007,1.083077661081343
22,dlvm,5000,3,5,0,1,3,602,1,glm,2,False,False,10,1.066913350100116,1.069378484076203,1.076351822198374
23,dlvm,5000,3,100,0,1,3,602,1,glm,13,False,False,10,1.0554519750044005,1.0768138761720372,1.078899762040119
24,dlvm,1000,3,5,0.1,2,3,602,1,glm,1,False,False,10,1.1151543730696327,1.1156925922071246,1.1214752892369708
25,dlvm,1000,3,100,0.1,2,3,602,1,glm,171,False,False,10,1.111686362014911,1.0642851325351725,1.0586978540553065
26,dlvm,5000,3,5,0.1,2,3,602,1,glm,3,False,False,10,1.092531916207251,1.0950048775259378,1.09749506055566
27,dlvm,5000,3,100,0.1,2,3,602,1,glm,371,False,False,10,1.058086295257346,1.0772215284217626,1.0798368159413756
28,dlvm,1000,3,5,0.3,2,3,602,1,glm,1,False,False,10,1.1360677062044178,1.1354929592800427,1.1371725035490823
29,dlvm,1000,3,100,0.3,2,3,602,1,glm,160,False,False,10,1.0809164779211025,1.0754694072556261,1.0717697409873614
30,dlvm,5000,3,5,0.3,2,3,602,1,glm,3,False,False,10,1.1049942128073007,1.1057097866302183,1.1069559580267974
31,dlvm,5000,3,100,0.3,2,3,602,1,glm,315,False,False,10,1.0695084441764653,1.0818406181183682,1.087865718894467
32,dlvm,1000,3,5,0,2,3,602,1,glm,0,False,False,10,1.1040576125723065,1.1085876304878481,1.1129955232099946
33,dlvm,1000,3,100,0,2,3,602,1,glm,2,False,False,10,1.092792805806154,1.0550593446938554,1.057228053595844
34,dlvm,5000,3,5,0,2,3,602,1,glm,1,False,False,10,1.0841686937242436,1.086339951812929,1.0890865815073048
35,dlvm,5000,3,100,0,2,3,602,1,glm,11,False,False,10,1.0548078314370692,1.0756290356867484,1.0772535642548895
36,dlvm,1000,3,5,0.1,3,3,602,1,glm,2,False,False,10,1.0090450071331183,1.0024240326727187,1.0137956387822329
