,prop_miss,set_id,d_miwae,n_epochs,sig_prior,method,time,add_wy,m,tau_dr,tau_ols,tau_ols_ps
0,0.1,1,20,602,1,glm,11,False,10,3.99425039925487,3.937417455182841,3.938334541868776
1,0.3,1,20,602,1,glm,12,False,10,3.981736859079306,3.931846037172479,3.928128000666723
2,0,1,20,602,1,glm,0,False,10,3.980897689857798,3.9405113979920054,3.9442128991331002
3,0.1,2,20,602,1,glm,11,False,10,4.0376456147834,3.868396094094232,3.8717825262335013
4,0.3,2,20,602,1,glm,13,False,10,4.062303945533465,3.9192798014687704,3.9165385235462367
5,0,2,20,602,1,glm,0,False,10,4.042166717473791,3.894796183074476,3.896518354154813
6,0.1,3,20,602,1,glm,14,False,10,4.034167827188042,3.8923856676681154,3.891960302147851
7,0.3,3,20,602,1,glm,14,False,10,4.067683795576361,3.9495270937237272,3.9498621822138835
8,0,3,20,602,1,glm,0,False,10,4.090900886867019,3.9412479420930078,3.9405491299507838
9,0.1,4,20,602,1,glm,11,False,10,4.123074921233515,3.836894500591279,3.837285920671757
10,0.3,4,20,602,1,glm,11,False,10,4.15803477698392,3.888652847632094,3.8829462688826255
11,0,4,20,602,1,glm,0,False,10,4.078998143343056,3.901858153185052,3.896961291455392
12,0.1,5,20,602,1,glm,11,False,10,4.21858173293923,4.247523197677279,4.2624533350360165
13,0.3,5,20,602,1,glm,12,False,10,4.206307929311736,4.218619549422805,4.228952140636704
14,0,5,20,602,1,glm,0,False,10,4.206273804606162,4.171324998802663,4.187262996154046
15,0.1,6,20,602,1,glm,11,False,10,4.078237399117092,3.9930068063323505,3.995504572875214
16,0.3,6,20,602,1,glm,11,False,10,4.119447822182209,4.048537221594221,4.050458947050456
17,0,6,20,602,1,glm,0,False,10,4.01667810937869,3.962664431746222,3.9652670124853677
18,0.1,7,20,602,1,glm,11,False,10,3.865416393976062,3.8436727286071872,3.849150809148081
19,0.3,7,20,602,1,glm,11,False,10,3.83377166218688,3.8801555097182927,3.878266006759617
20,0,7,20,602,1,glm,0,False,10,3.8593027193278693,3.8300071492927232,3.8329903017981266
21,0.1,8,20,602,1,glm,10,False,10,3.7415563134504177,3.9152895181987537,3.9203415272082283
22,0.3,8,20,602,1,glm,11,False,10,3.7268837183614765,3.796977673943389,3.7996262186263507
23,0,8,20,602,1,glm,0,False,10,3.6971888054770425,3.9428613082796664,3.9442810405989777
24,0.1,9,20,602,1,glm,11,False,10,10.326841010934096,5.576709877290139,5.5731756221439195
25,0.3,9,20,602,1,glm,11,False,10,10.656896103411379,6.682521824761077,6.677069492287546
26,0,9,20,602,1,glm,0,False,10,10.005825681804719,4.784368033973115,4.762959202249058
27,0.1,10,20,602,1,glm,10,False,10,4.7387944648689295,3.9558887240256597,3.9848466304482577
28,0.3,10,20,602,1,glm,11,False,10,4.826016284503623,4.177435997511068,4.191830408474577
29,0,10,20,602,1,glm,0,False,10,4.74926152197055,3.963836079289416,3.9819004415873307
