,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps
0,dlvm,1000,3,5,0.1,0,3,10,0.1,glm,93,True,2.0506215555676337,1.8351486119493607,1.835138761632603,2.050621555567634,1.387003905376443,1.386493912499746
1,dlvm,1000,3,100,0.1,0,3,10,0.1,glm,409,True,1.3002541681033695,1.7565443377744288,1.6781572275952001,1.3002541681033697,2.322645263817015,2.096019731431696
2,dlvm,1000,3,5,0.3,0,3,10,0.1,glm,75,True,2.005372362576338,1.7964230342225065,1.8388876971557693,2.005372362576338,1.3831101606536043,1.3832148707865994
3,dlvm,1000,3,100,0.3,0,3,10,0.1,glm,409,True,1.2563505467132383,1.971603554023627,1.8725840388339385,1.256350546713238,2.683908948021649,2.4263660351306835
4,dlvm,1000,3,5,0.1,0,3,400,0.1,glm,155,True,2.994666472145629,2.8271603013083357,2.758957878961728,2.9946664721456284,2.7980875820509574,2.889625467631877
5,dlvm,1000,3,100,0.1,0,3,400,0.1,glm,681,True,1.1739463323946502,1.5351144101857699,0.8582801617183362,1.17394633239465,1.9088062218810504,0.9771803095424012
6,dlvm,1000,3,5,0.3,0,3,400,0.1,glm,157,True,2.982506830047753,2.865555677938737,2.7605917636748405,2.9825068300477535,2.816534383986599,2.8865362834905977
7,dlvm,1000,3,100,0.3,0,3,400,0.1,glm,679,True,1.1408409781454172,1.5670474562827685,0.884582158614764,1.1408409781454174,1.896014183801318,1.0017282700319747
8,dlvm,1000,3,5,0.1,0,3,10,1,glm,76,True,3.4247798481487046,2.7766905127917756,2.6734219932560794,3.4247798481487046,2.687454455156488,2.730352472827227
9,dlvm,1000,3,100,0.1,0,3,10,1,glm,462,True,1.4015170582367327,0.5115935863450135,0.5515223673435269,1.4015170582367324,0.8862311094603623,0.7172103320142855
10,dlvm,1000,3,5,0.3,0,3,10,1,glm,77,True,2.919589124504833,2.3485287329110784,2.448809397967537,2.9195891245048324,2.585663265926488,2.6329976887478437
11,dlvm,1000,3,100,0.3,0,3,10,1,glm,456,True,0.6551194705166353,0.502467432546466,0.22068226856345913,0.6551194705166354,0.9557109934934676,0.5854703882300337
12,dlvm,1000,3,5,0.1,0,3,400,1,glm,159,True,3.0331569273222354,2.247286277499055,2.5049341371607716,3.033156927322236,2.5073721478776645,2.6988390817299126
13,dlvm,1000,3,100,0.1,0,3,400,1,glm,683,True,1.8791142015827613,1.807845395829219,0.7031058637537617,1.8791142015827615,2.008651059439858,0.8258381819219422
14,dlvm,1000,3,5,0.3,0,3,400,1,glm,158,True,2.986345461935617,2.258781534756902,2.474385325343609,2.986345461935617,2.495872576620921,2.672475916926655
15,dlvm,1000,3,100,0.3,0,3,400,1,glm,686,True,1.357274037619627,1.852028625683059,0.6663121591212481,1.357274037619627,2.0554784654899128,0.7980033206898631
16,dlvm,1000,3,5,0.1,0,3,10,10,glm,82,True,3.158532827801754,2.8961470207071365,2.88371747063424,3.158532827801754,2.7624956228379807,2.7817697252717624
17,dlvm,1000,3,100,0.1,0,3,10,10,glm,477,True,3.413662444424456,0.582583370874818,0.5114084889584548,3.413662444424456,0.7990310762282513,0.7139382244102813
18,dlvm,1000,3,5,0.3,0,3,10,10,glm,81,True,3.7937361744760754,2.7123412219582383,2.7433783183754326,3.7937361744760745,2.7392559577770133,2.7531958872343254
19,dlvm,1000,3,100,0.3,0,3,10,10,glm,476,True,6.44101697547354,0.9465865511906267,0.6286463068640208,6.44101697547354,1.103711224247955,0.7243742583486439
20,dlvm,1000,3,5,0.1,0,3,400,10,glm,161,True,4.282322751515318,3.1519544391572043,3.1931404345094676,4.282322751515316,2.9229625913156103,3.0524516263266706
21,dlvm,1000,3,100,0.1,0,3,400,10,glm,687,True,2.3923227049973637,1.7415568218052688,0.7092737325554443,2.392322704997363,1.8006905640781434,0.6742375043737596
22,dlvm,1000,3,5,0.3,0,3,400,10,glm,163,True,4.420885839517554,3.1708331494253437,3.1804656428935747,4.420885839517553,2.9423461888096343,3.0413489683208494
23,dlvm,1000,3,100,0.3,0,3,400,10,glm,691,True,0.5184111446893457,1.8416365440238962,0.7786808890348633,0.5184111446893456,1.9803398081090275,0.8531979582395911
