,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
0,dlvm,1000,3,5,0.1,0,3,10,0.1,glm,132,False,False,1.0772226970075052,1.0773989042888932,1.0767191682275552,1.1042976477739663,1.1043101110982163,1.1043419918597197,0.5363239333414027,0.1211255360446961
1,dlvm,1000,3,100,0.1,0,3,10,0.1,glm,607,False,False,1.0093314057635994,1.0094057689028575,1.0086214952139565,0.9928975793948069,0.9932987866290532,0.993293921609515,0.7103387085636333,0.6874768674408546
2,dlvm,1000,3,5,0.3,0,3,10,0.1,glm,126,False,False,1.072713590065915,1.072944396148598,1.0699122560217802,1.1047871401189076,1.1047970283261146,1.1047422393376305,0.5373207517837253,0.11596658554315742
3,dlvm,1000,3,100,0.3,0,3,10,0.1,glm,614,False,False,0.9916736796647329,0.991336083475637,0.9859267222217828,0.9953078208740291,0.9953648787875133,0.9953663745604234,0.7060655108927189,0.674632748694223
4,dlvm,1000,3,5,0.1,0,3,400,0.1,glm,235,False,False,1.0935994460712408,1.0939298767836165,1.0943028730153954,1.0553697030237033,1.0559932443443192,1.0564024726013035,0.7274004350045897,0.5496707959465463
5,dlvm,1000,3,100,0.1,0,3,400,0.1,glm,1053,False,False,1.0422703266102584,1.0445094952060652,1.0414746709570923,1.0414098774909812,1.0437567865155288,1.0418592997404172,0.900902946622088,0.8614486288491554
6,dlvm,1000,3,5,0.3,0,3,400,0.1,glm,226,False,False,1.0723230451839738,1.0738073541442335,1.07295565575307,1.0411553843040025,1.0416944973829896,1.0428000121411538,0.7182674275554574,0.5326216816197066
7,dlvm,1000,3,100,0.3,0,3,400,0.1,glm,1064,False,False,1.029357635223641,1.0327486982473402,1.028371497766389,1.0316941248523521,1.034710774443065,1.032591291430932,0.8987754574593916,0.859673415726246
8,dlvm,1000,3,5,0.1,0,3,10,1,glm,120,False,False,1.0804146685648444,1.0790411543082195,1.0807874501313581,1.0481643154957525,1.0482678711276068,1.0488377787539576,0.6929154179170407,0.5057394552229606
9,dlvm,1000,3,100,0.1,0,3,10,1,glm,693,False,False,0.985654196368496,1.0085801223951871,1.009613920916212,1.002330937205942,1.0208404136687728,1.0203880352451251,0.8283616990292256,0.7554765932464532
10,dlvm,1000,3,5,0.3,0,3,10,1,glm,122,False,False,1.0765863640827178,1.0764463157040152,1.0785382238449428,1.0500510630914943,1.050179442581068,1.0502520673330162,0.6875873899871473,0.4982356292524371
11,dlvm,1000,3,100,0.3,0,3,10,1,glm,684,False,False,1.0725381067220146,1.0856128787612247,1.0854964230642035,1.0666049541638463,1.0717864196946558,1.0709451444635196,0.8125204308958808,0.7431553978609787
