,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
0,dlvm,1000,3,5,0.1,0,3,10,0.1,glm,146,False,True,1.0749995387657028,1.0752836700805926,1.0750326146310272,1.1046327625451382,1.10462671944512,1.1046407513812442,0.5297210264434932,0.13122993866054036
1,dlvm,1000,3,100,0.1,0,3,10,0.1,glm,582,False,True,0.9906316294254485,0.9908852296169033,0.9880427610046445,0.9927610884876904,0.993120004303396,0.9931349806759033,0.7077003940135647,0.6828801892696906
2,dlvm,1000,3,5,0.3,0,3,10,0.1,glm,143,False,True,1.0878129720668104,1.0886640471369677,1.0876964891203897,1.105012860464258,1.1050242128836427,1.1051346421092643,0.5281302475960852,0.11533952660987631
3,dlvm,1000,3,100,0.3,0,3,10,0.1,glm,636,False,True,0.9864519364582816,0.9854657168373622,0.9801155752655628,0.9945713188041672,0.9949801282153412,0.9949411525346842,0.7106579689280113,0.6881268127490372
4,dlvm,1000,3,5,0,0,3,10,0.1,glm,147,False,True,1.0781433312981448,1.0778624929683902,1.0760068029344438,1.1043848725038456,1.1043825752718284,1.104299495062969,0.5246231491442773,0.12629745449881014
5,dlvm,1000,3,100,0,0,3,10,0.1,glm,667,False,True,1.0167803873792944,1.01682292193731,1.0138160842861943,0.9973859784704185,0.997571743935814,0.9974765252416071,0.7100708601096687,0.6853083322310926
6,dlvm,1000,3,5,0.1,0,3,400,0.1,glm,269,False,True,1.080515254473711,1.0816099893153615,1.0819319002167163,1.0557261239906905,1.0565375151799983,1.0570877186070513,0.7300162550614657,0.5572422398154349
7,dlvm,1000,3,100,0.1,0,3,400,0.1,glm,1117,False,True,1.0259269996048244,1.0294875336432252,1.0239737674177656,1.0310233682239944,1.0338270022036904,1.030345460654159,0.8978262055293063,0.8607215352777612
8,dlvm,1000,3,5,0.3,0,3,400,0.1,glm,263,False,True,1.0910037269460864,1.0916253536550435,1.0919427316797212,1.0549129189329893,1.0553713173974737,1.056070166731891,0.7277681787198534,0.5479440477258258
9,dlvm,1000,3,100,0.3,0,3,400,0.1,glm,1134,False,True,1.0289005274840828,1.028317212704612,1.0244305883584541,1.0307847863327744,1.030537021400407,1.0285636971958019,0.9014402036305261,0.8645952414665016
10,dlvm,1000,3,5,0,0,3,400,0.1,glm,268,False,True,1.1027056305189389,1.1003024511433175,1.100119480247404,1.0554595137127165,1.0561076245390546,1.0567156571168568,0.7285287162788211,0.5504916020054637
11,dlvm,1000,3,100,0,0,3,400,0.1,glm,1133,False,True,1.0306684593802546,1.0303812133751014,1.0273208137273508,1.036323357405421,1.0364880444026283,1.0353351123454047,0.9019438082482404,0.8605372446566412
12,dlvm,1000,3,5,0.1,0,3,10,1,glm,140,False,True,1.048237242254948,1.048284153543494,1.0467756701148185,1.0511775439255757,1.0512445827575965,1.0513989946142033,0.6889804641198616,0.5005449796577728
13,dlvm,1000,3,100,0.1,0,3,10,1,glm,738,False,True,0.9286632522585314,0.9752431944892545,0.9684105725072143,0.9635559618287863,0.9920603726401392,0.988861438228931,0.810888965788491,0.7397223842616295
14,dlvm,1000,3,5,0.3,0,3,10,1,glm,141,False,True,1.0607412700394923,1.0625913873347737,1.0625234903203205,1.0499565084721627,1.0500103541752037,1.050088610084299,0.6871126553065295,0.5003195645097154
