,model,n,n_epochs,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps
0,dlvm,200,10,1.0508296809559852,1.0522102718039261,1.0545738447666062,1.0252246871963058,1.0253196986226054,1.0257194723557053
1,dlvm,200,100,0.9743179075635681,0.9774343226659508,0.984072729432716,1.0136092606628622,1.0137741595314225,1.0136708624012498
2,dlvm,200,400,1.023910638744822,1.02593729696658,1.0282347348995178,1.0259616533213578,1.0274728743916983,1.0302081229370637
3,dlvm,200,600,1.0145433480777875,1.0104471111621158,1.0130464337497687,1.0155430226160973,1.0117699159884153,1.0137520101050639
4,dlvm,200,800,0.967291258298053,0.969407761811743,0.9746491737885801,0.9682855813505025,0.9703542778047733,0.9755691594173612
5,dlvm,1000,10,0.966396534352099,0.9666276964112539,0.9668337548754381,0.971837053747553,0.9720002729277769,0.972168944458743
6,dlvm,1000,100,0.9635809455721033,0.963697484784731,0.9641643283827979,0.9730940746178951,0.9731152431155388,0.9729751618458241
7,dlvm,1000,400,1.010997724154722,1.0105983859803302,1.0106880925004518,1.00914398205071,1.0091235629317226,1.009064183689879
8,dlvm,1000,600,1.004863082499224,1.0035157430261,1.0035361486848962,1.0029853925572367,1.00211489730837,1.0022010616100245
9,dlvm,1000,800,1.000913826071095,0.9982254224791491,0.9986446375085889,1.0000289942021683,0.9976421633645266,0.9979684733003658
10,dlvm,10000,10,0.991982276286061,0.9927176309207089,0.99297536084111,1.0030781806087063,1.0036305766464404,1.0034510050682337
11,dlvm,10000,100,1.030405622081005,1.0312123283479746,1.0311303400722267,1.0242371795401193,1.0247291729998875,1.0248317483753613
12,dlvm,10000,400,1.0029971094075094,1.003720230280988,1.0036263175558753,1.0065715026827797,1.007149405548472,1.0073010101098532
13,dlvm,10000,600,1.005074181418002,1.0060130946501462,1.006156823426323,1.0066039718336561,1.0074857771159438,1.0077453490178119
14,dlvm,10000,800,1.006021123339248,1.0058599202766407,1.0062138858478156,1.0077688633632815,1.007699110855873,1.0080540561402744
